combination,consumption
2,0.6279785999999999
2,0.5711687999999999
2,0.5650272000000001
2,0.5512086
2,0.545067
2,0.55726848
2,0.54183168
2,0.5649868800000001
2,0.53874432
2,0.58814208
2,0.5865984000000001
2,0.5402880000000001
2,0.5557248
2,0.54183168
2,0.5588121600000001
2,0.53720064
2,0.5480064
2,0.55726848
2,0.5603558399999999
2,0.6035788800000002
2,0.5603558399999999
2,0.5727052800000001
2,0.58505472
2,0.5557248
2,0.5557248
2,0.5727052800000001
2,0.54491904
2,0.54955008
2,0.54491904
2,0.5541811200000001
4,1.5877727999999998
4,1.54692
4,1.54692
4,1.54692
4,1.5623892000000001
4,1.52526312
4,1.5623892000000001
4,1.5933275999999996
4,1.51752852
4,1.54692
4,1.52526312
4,1.5623892000000001
4,1.5407323199999998
4,1.52216928
4,1.5623892000000001
4,1.54537308
4,1.5778583999999998
4,1.5778583999999998
4,1.5036062399999999
4,1.52216928
4,1.54692
4,1.5237162
4,1.7480196
4,1.5159816
4,1.5345446399999998
4,1.50979392
4,1.5623892000000001
4,1.5237162
4,1.5314508
4,1.5376384799999998
1,0.56025216
1,0.5335027200000001
1,0.54093312
1,0.5650041600000001
1,0.55005696
1,0.5449950000000001
1,0.5449950000000001
1,0.5449950000000001
1,0.613305
1,0.556875
1,0.559845
1,0.58509
1,0.57024
1,0.5628150000000001
1,0.5969700000000001
1,0.5925149999999999
1,0.55539
1,0.56133
1,0.55102032
1,0.5749128
1,0.54355392
1,0.5525135999999999
1,0.5390740799999999
1,0.55699344
1,0.55848672
1,0.56147328
1,0.57341952
1,0.55848672
1,0.56147328
1,0.56296656
3,0.47369664
3,0.47669472
3,0.4721976
3,0.49768127999999995
3,0.44221679999999997
3,0.46170432
3,0.44221679999999997
3,0.46770048
3,0.44030591999999996
3,0.47005632
3,0.45964368
3,0.44923104
3,0.5042692799999999
3,0.45034415999999994
3,0.45782495999999995
3,0.43687872
3,0.4638096
3,0.45034415999999994
3,0.45483263999999995
3,0.45932111999999997
3,0.45034415999999994
3,0.46680192
3,0.5371214400000001
3,0.4802673599999999
3,0.48924432
3,0.48046896
3,0.46410624
3,0.45071856
3,0.47024639999999995
3,0.44029440000000003
