"experimental_unit","combination","min","max","mean","standard_deviation"
"absence",1,0.52404444,0.6336792,"0.557","0.025"
"absence",2,1.1083644,1.201374,"1.131","0.018"
"absence",3,0.37115496,0.60652152,"0.466","0.047"
"absence",4,1.47569472,1.5885684,"1.511","0.029"
"all",1,0.5306256,0.67626432,"0.560","0.027"
"all",2,1.11456504,1.18897272,"1.140","0.020"
"all",3,0.36302904,0.64805184,"0.424","0.061"
"all",4,1.52083728,1.5877728,"1.547","0.019"
"always",1,0.54054,0.68840208,"0.565","0.026"
"always",2,1.11299328,1.19943936,"1.139","0.023"
"always",3,0.0099086544,0.61310736,"0.452","0.092"
"always",4,1.51288776,1.6087968,"1.536","0.021"
"any",1,0.53350272,0.613305,"0.561","0.018"
"any",2,0.53720064,0.6279786,"0.561","0.021"
"any",3,0.43687872,0.53712144,"0.465","0.022"
"any",4,1.50360624,1.7480196,"1.550","0.044"
"avgDistance",1,0.51678,0.68288796,"0.551","0.030"
"avgDistance",2,1.1110014,1.2055716,"1.143","0.024"
"avgDistance",3,0.45071856,0.73185984,"0.474","0.051"
"avgDistance",4,1.49787,1.8613188,"1.559","0.073"
"count",1,0.47088,0.61776,"0.534","0.029"
"count",2,1.08136728,1.25402256,"1.118","0.039"
"count",3,0.43405488,0.5611716,"0.461","0.025"
"count",4,1.45154916,1.7937108,"1.494","0.062"
"decreasing",1,0.52101504,0.62407296,"0.544","0.023"
"decreasing",2,0.52731,0.6523578,"0.549","0.027"
"decreasing",3,0.34943832,0.5505354,"0.415","0.048"
"decreasing",4,1.4436828,1.7817156,"1.484","0.064"
"increasing",1,0.51088572,0.569232,"0.528","0.010"
"increasing",2,1.07475984,1.23642288,"1.110","0.037"
"increasing",3,0.3465504,0.62667864,"0.423","0.061"
"increasing",4,1.44963,1.769292,"1.487","0.064"
"maxDistance",1,0.54277056,0.68436288,"0.571","0.032"
"maxDistance",2,1.1048886,1.23935832,"1.142","0.029"
"maxDistance",3,0.33766704,0.58608288,"0.460","0.048"
"maxDistance",4,1.51623,1.6524,"1.547","0.032"
"minDistance",1,0.54705672,0.75825288,"0.574","0.044"
"minDistance",2,0.6066954,0.8603766,"0.648","0.054"
"minDistance",3,0.4388184,0.520632,"0.471","0.015"
"minDistance",4,0.86751,1.05111,"0.901","0.038"
"mixed",1,0.4653396,0.61763256,"0.522","0.026"
"mixed",2,1.06933176,1.22571036,"1.106","0.040"
"mixed",3,0.34599888,0.5958072,"0.449","0.042"
"mixed",4,1.4243868,1.5565464,"1.460","0.033"
"nHighestValues",1,0.5291478,0.58423716,"0.548","0.013"
"nHighestValues",2,1.08421632,1.254528,"1.125","0.041"
"nHighestValues",3,0.3485322,0.74797056,"0.380","0.073"
"nHighestValues",4,1.46812968,1.817856,"1.514","0.068"
"nLowestValues",1,0.5256,0.64944,"0.549","0.023"
"nLowestValues",2,0.52402392,0.68276736,"0.559","0.032"
"nLowestValues",3,0.35856288,0.53049672,"0.446","0.031"
"nLowestValues",4,0.69487452,0.9270018,"0.719","0.042"
"nonDecreasing",1,0.51610392,0.7044192,"0.536","0.033"
"nonDecreasing",2,0.51941736,0.67509288,"0.550","0.032"
"nonDecreasing",3,0.430704,0.55847952,"0.448","0.022"
"nonDecreasing",4,0.68159772,0.88415496,"0.703","0.037"
"nonIncreasing",1,0.50905332,0.62468316,"0.535","0.022"
"nonIncreasing",2,1.06188516,1.21528512,"1.099","0.038"
"nonIncreasing",3,0.3517416,0.56996496,"0.451","0.037"
"nonIncreasing",4,1.42241832,1.7504424,"1.472","0.067"
"relativeAvgDistance",1,0.53946,0.778572,"0.572","0.046"
"relativeAvgDistance",2,1.1094732,1.2714624,"1.141","0.038"
"relativeAvgDistance",3,0.3476214,0.61092612,"0.412","0.062"
"relativeAvgDistance",4,0.34578,1.6065,"1.483","0.216"
"relativeMaxDistance",1,0.535086,0.820854,"0.563","0.054"
"relativeMaxDistance",2,0.61274448,0.8588484,"0.655","0.052"
"relativeMaxDistance",3,0.44673048,0.84464604,"0.479","0.074"
"relativeMaxDistance",4,1.49503608,1.674684,"1.533","0.036"
"relativeMinDistance",1,0.529254,0.93072024,"0.568","0.070"
"relativeMinDistance",2,0.605088,0.85509864,"0.649","0.051"
"relativeMinDistance",3,0.448533,0.691182,"0.474","0.042"
"relativeMinDistance",4,1.4921568,1.6209216,"1.526","0.030"
"sometimes",1,0.512325,0.604395,"0.549","0.017"
"sometimes",2,0.142172928,0.6483456,"0.548","0.081"
"sometimes",3,0.3570048,0.64112112,"0.439","0.059"
"sometimes",4,1.48751676,1.6767252,"1.529","0.042"
"stable",1,0.46107792,0.57492432,"0.529","0.026"
"stable",2,1.06877232,1.23043536,"1.113","0.041"
"stable",3,0.33788664,0.53137728,"0.422","0.043"
"stable",4,1.4243544,1.754424,"1.481","0.063"
"valueAvg",1,0.51264,0.63504,"0.542","0.021"
"valueAvg",2,1.07985276,1.28885652,"1.126","0.050"
"valueAvg",3,0.35808084,0.61563672,"0.452","0.053"
"valueAvg",4,1.45681452,1.7937108,"1.499","0.067"
"valueMax",1,0.46089792,0.64268064,"0.524","0.033"
"valueMax",2,0.5288166,0.66487428,"0.551","0.028"
"valueMax",3,0.42748776,0.65868012,"0.460","0.043"
"valueMax",4,1.45382004,1.7817156,"1.500","0.067"
"valueMin",1,0.52387776,0.62121024,"0.543","0.020"
"valueMin",2,1.0862586,1.2339054,"1.119","0.041"
"valueMin",3,0.42021756,0.64413972,"0.457","0.039"
"valueMin",4,1.46130624,1.796688,"1.497","0.064"
